emotion_label	emotion_clause	cause_clause
['ANGER', 'SADNESS']	['249', '257', '249', '257']	['261', '263', '261', '263']
['SADNESS', 'DISGUST', 'DISGUST', 'OTHER']	['139', '147', '162', '173', '209', '215', '209', '215']	['148', '153', '174', '180', '216', '234', '216', '234']
['JOY', 'TRUST', 'SADNESS']	['157', '162', '157', '162', '227', '234']	['163', '166', '163', '166', '241', '369']
['SADNESS']	['120', '129']	['133', '157']
['OTHER']	['182', '188']	['190', '243']
['DISGUST']	['160', '168']	['149', '151']
['DISGUST']	['322', '329']	['330', '346']
['JOY', 'JOY', 'OTHER']	['329', '332', '297', '303', '297', '303']	['93', '259', '93', '259', '235', '259']
['SURPRISE']	['368', '380']	['440', '472']
['SURPRISE', 'OTHER']	['210', '221', '210', '221']	['248', '308', '228', '241']
['OTHER']	['71', '80']	['108', '109']
['TRUST', 'JOY', 'JOY', 'TRUST', 'JOY']	['121', '126', '121', '126', '232', '235', '262', '268', '262', '268']	['130', '146', '130', '146', '130', '146', '278', '309', '278', '309']
['DISGUST', 'JOY', 'TRUST']	['147', '154', '229', '235', '205', '212']	['155', '167', '155', '167', '155', '167']
['FEAR']	['252', '256']	['257', '364']
['TRUST', 'TRUST', 'TRUST', 'ANGER']	['108', '112', '113', '129', '137', '141', '160', '168']	['113', '129', '113', '115', '148', '207', '172', '182']
['FEAR', 'SADNESS', 'OTHER', 'OTHER', 'FEAR', 'OTHER', 'OTHER', 'SADNESS']	['126', '134', '150', '157', '150', '157', '150', '157', '150', '157', '126', '134', '126', '134', '126', '134']	['87', '88', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125', '114', '125']
['SURPRISE', 'SADNESS', 'OTHER', 'ANGER']	['130', '145', '130', '134', '130', '134', '138', '145']	['146', '155', '146', '155', '146', '155', '146', '155']
['DISGUST', 'TRUST']	['72', '78', '109', '119']	['99', '124', '79', '83']
['DISGUST']	['108', '114']	['115', '119']
['DISGUST', 'DISGUST', 'OTHER', 'OTHER', 'OTHER']	['129', '143', '105', '114', '105', '114', '129', '143', '206', '219']	['44', '99', '44', '99', '226', '279', '226', '279', '226', '279']
['OTHER', 'OTHER']	['289', '297', '236', '243']	['97', '123', '97', '123']
['OTHER']	['114', '122']	['78', '96']
['ANTICIPATION']	['118', '122']	['126', '141']
['OTHER', 'ANGER']	['82', '100', '128', '135']	['1', '47', '55', '100']
['DISGUST', 'OTHER']	['56', '72', '56', '72']	['50', '52', '92', '126']
['OTHER', 'ANTICIPATION']	['114', '126', '268', '272']	['45', '80', '183', '227']
['FEAR', 'ANGER']	['115', '119', '188', '195']	['120', '160', '231', '262']
['DISGUST']	['38', '46']	['15', '18']
['DISGUST']	['110', '134']	['84', '99']
['FEAR', 'OTHER']	['67', '73', '67', '73']	['74', '124', '74', '124']
['FEAR', 'OTHER']	['71', '81', '71', '81']	['12', '62', '12', '62']
['ANGER']	['56', '60']	['47', '49']
['FEAR']	['82', '88']	['156', '196']
['FEAR']	['70', '76']	['94', '137']
['FEAR', 'TRUST']	['98', '104', '139', '146']	['129', '196', '108', '111']
['SADNESS']	['201', '210']	['188', '214']
['TRUST']	['247', '252']	['270', '292']
['TRUST', 'OTHER']	['97', '130', '157', '175']	['157', '175', '106', '109']
['SURPRISE']	['269', '278']	['264', '268']
['TRUST']	['79', '90']	['94', '96']
['ANTICIPATION']	['97', '101']	['74', '93']
['SADNESS']	['165', '169']	['41', '136']
['SADNESS']	['301', '307']	['186', '192']
['DISGUST']	['89', '94']	['98', '109']
['SADNESS']	['187', '206']	['198', '316']
['JOY', 'OTHER']	['25', '31', '80', '90']	['32', '62', '91', '102']
['JOY', 'TRUST', 'SADNESS']	['54', '68', '54', '62', '87', '93']	['102', '144', '102', '144', '102', '144']
['ANTICIPATION']	['215', '220']	['221', '250']
['SADNESS', 'JOY']	['129', '195', '212', '218']	['50', '79', '219', '263']
['DISGUST', 'SADNESS', 'SADNESS', 'SADNESS', 'OTHER', 'OTHER']	['94', '103', '94', '103', '179', '185', '156', '159', '179', '185', '156', '159']	['112', '131', '112', '131', '112', '131', '112', '131', '133', '135', '133', '135']
['ANGER']	['62', '71']	['56', '57']
['ANTICIPATION']	['39', '44']	['45', '58']
['ANTICIPATION']	['153', '158']	['149', '161']
['SURPRISE', 'OTHER']	['47', '56', '47', '56']	['35', '39', '35', '39']
['OTHER']	['179', '187']	['153', '168']
['SURPRISE']	['35', '43']	['52', '76']
['SURPRISE', 'JOY']	['167', '177', '189', '201']	['160', '162', '214', '232']
['ANTICIPATION', 'SURPRISE']	['115', '119', '144', '152']	['123', '138', '153', '174']
['ANTICIPATION']	['63', '68']	['69', '85']
['SURPRISE', 'OTHER']	['261', '270', '261', '270']	['66', '206', '274', '276']
['ANTICIPATION', 'ANTICIPATION']	['43', '49', '57', '62']	['50', '82', '63', '82']
['ANGER', 'SURPRISE', 'ANTICIPATION']	['53', '123', '55', '81', '55', '81']	['145', '208', '145', '208', '145', '208']
['ANTICIPATION', 'FEAR']	['110', '117', '181', '190']	['124', '144', '237', '278']
['SURPRISE']	['76', '82']	['1', '54']
['ANTICIPATION', 'TRUST']	['305', '333', '315', '322']	['239', '245', '287', '295']
['SURPRISE']	['200', '206']	['207', '290']
['SURPRISE', 'TRUST']	['49', '55', '56', '66']	['72', '92', '72', '92']
['OTHER', 'SURPRISE']	['44', '50', '44', '50']	['31', '33', '51', '59']
['SURPRISE']	['80', '88']	['0', '70']
['ANGER']	['247', '255']	['174', '191']
['TRUST', 'OTHER']	['38', '48', '131', '140']	['49', '51', '85', '129']
['SADNESS']	['124', '130']	['131', '133']
['OTHER', 'OTHER']	['97', '108', '153', '169']	['120', '124', '120', '124']
['OTHER', 'FEAR', 'ANTICIPATION']	['139', '155', '272', '286', '272', '281']	['166', '174', '290', '329', '290', '329']
['TRUST']	['165', '175']	['110', '132']
['JOY']	['197', '205']	['245', '287']
['SADNESS']	['39', '53']	['59', '95']
['SURPRISE']	['66', '76']	['77', '102']
['JOY', 'SURPRISE', 'OTHER', 'OTHER']	['17', '26', '17', '26', '17', '26', '17', '26']	['12', '14', '12', '14', '27', '31', '27', '31']
['JOY']	['60', '64']	['73', '76']
['ANTICIPATION']	['86', '90']	['91', '124']
['JOY']	['117', '148']	['143', '148']
['OTHER']	['148', '154']	['55', '117']
['OTHER']	['144', '163']	['157', '163']
['OTHER']	['131', '135']	['108', '115']
['JOY', 'JOY']	['71', '78', '139', '146']	['95', '121', '147', '180']
['JOY']	['60', '67']	['68', '85']
['JOY', 'OTHER', 'OTHER', 'OTHER', 'JOY']	['41', '48', '41', '48', '53', '61', '80', '86', '80', '86']	['69', '121', '69', '73', '69', '121', '69', '73', '69', '121']
['JOY']	['104', '111']	['117', '142']
['JOY']	['150', '153']	['90', '94']
['OTHER', 'JOY']	['125', '134', '125', '134']	['140', '153', '140', '153']
['TRUST', 'JOY']	['166', '184', '238', '245']	['195', '224', '249', '278']
['OTHER']	['401', '411']	['415', '430']
['OTHER']	['94', '103']	['85', '87']
['OTHER']	['90', '95']	['118', '129']
['OTHER', 'OTHER']	['133', '138', '58', '106']	['32', '43', '32', '43']
['OTHER']	['55', '60']	['74', '95']
['JOY']	['91', '96']	['149', '207']
['JOY', 'OTHER', 'TRUST', 'OTHER']	['155', '162', '155', '162', '155', '162', '155', '162']	['168', '192', '168', '192', '168', '192', '168', '192']
['ANTICIPATION']	['113', '117']	['118', '135']
['JOY', 'OTHER', 'TRUST']	['77', '86', '54', '59', '54', '59']	['39', '50', '39', '50', '39', '50']
['JOY']	['99', '108']	['40', '79']
['TRUST']	['141', '156']	['66', '139']
['TRUST', 'OTHER', 'OTHER']	['98', '103', '98', '103', '112', '121']	['104', '142', '104', '142', '104', '106']
['OTHER']	['108', '112']	['116', '126']
['TRUST', 'FEAR']	['247', '252', '275', '279']	['253', '288', '280', '289']
['JOY']	['117', '122']	['169', '215']
['OTHER', 'OTHER', 'JOY', 'JOY', 'OTHER']	['208', '216', '154', '162', '154', '162', '128', '137', '128', '137']	['95', '108', '95', '108', '95', '108', '95', '108', '95', '108']
['JOY']	['55', '68']	['55', '148']
['JOY']	['55', '59']	['76', '82']
['TRUST', 'ANTICIPATION', 'JOY']	['294', '302', '335', '339', '354', '361']	['306', '329', '346', '423', '369', '395']
['DISGUST']	['136', '189']	['72', '76']
['ANTICIPATION', 'JOY', 'JOY']	['264', '271', '264', '271', '287', '298']	['272', '313', '287', '298', '272', '313']
['JOY', 'OTHER', 'TRUST', 'OTHER']	['200', '209', '200', '209', '239', '242', '239', '242']	['185', '190', '185', '190', '247', '282', '247', '282']
['TRUST', 'JOY']	['174', '178', '174', '178']	['141', '156', '217', '347']
['TRUST', 'OTHER', 'OTHER']	['106', '114', '128', '164', '141', '176']	['116', '281', '116', '118', '116', '281']
['JOY']	['112', '120']	['79', '87']
['JOY', 'OTHER']	['59', '68', '59', '68']	['69', '74', '69', '74']
['OTHER']	['73', '78']	['1', '44']
['OTHER', 'JOY', 'JOY', 'OTHER']	['25', '30', '25', '30', '85', '90', '85', '90']	['97', '218', '43', '50', '43', '50', '97', '218']
['JOY', 'OTHER', 'TRUST', 'TRUST']	['98', '113', '98', '113', '341', '349', '164', '169']	['130', '154', '114', '118', '143', '146', '143', '146']
['TRUST']	['117', '126']	['133', '135']
['TRUST', 'OTHER', 'OTHER']	['68', '90', '186', '191', '196', '203']	['60', '63', '224', '241', '224', '241']
['JOY']	['164', '169']	['86', '88']
['FEAR', 'SURPRISE']	['193', '203', '193', '203']	['210', '326', '210', '326']
['DISGUST', 'SADNESS']	['182', '188', '182', '188']	['151', '160', '151', '160']
['OTHER']	['157', '164']	['165', '168']
['ANGER', 'OTHER']	['66', '74', '102', '110']	['26', '31', '88', '94']
['OTHER']	['70', '82']	['86', '89']
['JOY']	['33', '41']	['22', '29']
['OTHER', 'SURPRISE']	['67', '76', '67', '76']	['18', '65', '18', '65']
['JOY', 'OTHER']	['107', '116', '107', '116']	['90', '97', '90', '97']
['JOY', 'OTHER']	['174', '183', '174', '183']	['158', '163', '158', '199']
['JOY', 'OTHER']	['243', '248', '243', '248']	['249', '259', '249', '259']
['OTHER', 'JOY']	['315', '319', '315', '319']	['292', '304', '292', '304']
['JOY', 'OTHER']	['111', '118', '111', '118']	['78', '97', '78', '97']
['OTHER', 'FEAR']	['75', '85', '75', '85']	['146', '183', '146', '183']
['ANGER', 'JOY']	['199', '205', '234', '238']	['260', '269', '260', '269']
['JOY']	['157', '161']	['162', '165']
['TRUST', 'OTHER']	['84', '92', '107', '111']	['93', '148', '137', '140']
['DISGUST', 'ANGER', 'DISGUST', 'OTHER', 'DISGUST']	['163', '168', '312', '321', '228', '236', '335', '342', '411', '419']	['172', '223', '215', '223', '215', '223', '427', '431', '427', '431']
['SURPRISE', 'SURPRISE']	['38', '57', '43', '57']	['59', '71', '59', '71']
['JOY', 'ANGER', 'ANGER']	['93', '97', '167', '174', '150', '156']	['98', '122', '98', '122', '98', '122']
['DISGUST']	['105', '111']	['143', '190']
['DISGUST']	['188', '192']	['71', '149']
['ANGER', 'FEAR']	['204', '208', '267', '272']	['225', '257', '225', '257']
['ANGER', 'SADNESS', 'ANGER']	['268', '294', '246', '253', '309', '316']	['236', '253', '265', '295', '255', '259']
['ANGER']	['66', '82']	['86', '97']
['ANGER']	['72', '84']	['88', '109']
['JOY', 'OTHER']	['49', '53', '49', '53']	['26', '28', '26', '28']
['OTHER', 'JOY']	['260', '265', '260', '265']	['313', '520', '269', '289']
['OTHER', 'JOY']	['501', '509', '501', '509']	['589', '648', '510', '513']
['OTHER']	['326', '334']	['285', '303']
['ANTICIPATION']	['181', '191']	['218', '231']
['TRUST']	['94', '101']	['102', '152']
['JOY']	['84', '94']	['148', '293']
['SADNESS']	['29', '33']	['39', '64']
['ANGER', 'OTHER']	['62', '71', '78', '85']	['72', '108', '72', '108']
['JOY', 'OTHER']	['212', '219', '114', '118']	['43', '44', '140', '219']
['ANTICIPATION']	['111', '115']	['128', '142']
['OTHER', 'OTHER']	['46', '53', '46', '53']	['57', '73', '57', '73']
['DISGUST']	['350', '361']	['362', '398']
['DISGUST', 'OTHER']	['52', '60', '52', '60']	['38', '40', '38', '65']
['JOY']	['55', '60']	['1', '24']
['ANGER']	['364', '372']	['303', '325']
['ANTICIPATION', 'SADNESS']	['234', '242', '343', '347']	['244', '347', '262', '270']
['OTHER', 'FEAR', 'FEAR']	['125', '132', '125', '132', '133', '145']	['107', '117', '133', '145', '152', '155']
['JOY', 'FEAR', 'OTHER']	['375', '387', '433', '439', '433', '439']	['404', '415', '440', '475', '462', '475']
['FEAR', 'TRUST']	['58', '69', '101', '106']	['45', '57', '113', '161']
['OTHER', 'FEAR']	['55', '69', '90', '105']	['78', '81', '117', '154']
['TRUST']	['74', '81']	['82', '93']
['TRUST', 'FEAR']	['179', '186', '179', '254']	['187', '254', '192', '199']
['OTHER']	['294', '303']	['277', '286']
['FEAR']	['146', '152']	['153', '181']
['JOY', 'OTHER']	['247', '258', '247', '258']	['244', '246', '276', '323']
['DISGUST', 'OTHER']	['153', '160', '153', '160']	['176', '184', '176', '184']
['JOY', 'TRUST']	['27', '33', '51', '55']	['39', '41', '34', '38']
['DISGUST']	['204', '211']	['215', '247']
['ANTICIPATION']	['154', '162']	['129', '143']
['JOY', 'ANTICIPATION']	['203', '211', '203', '211']	['169', '182', '169', '182']
['FEAR', 'ANTICIPATION', 'JOY', 'ANGER']	['109', '134', '337', '341', '270', '276', '337', '341']	['100', '102', '109', '112', '136', '139', '196', '276']
['OTHER', 'ANGER']	['29', '39', '29', '39']	['94', '211', '45', '48']
['FEAR']	['422', '429']	['435', '477']
['TRUST']	['193', '199']	['162', '191']
['OTHER']	['12', '19']	['20', '45']
['OTHER']	['97', '102']	['26', '40']
['SADNESS', 'SADNESS']	['201', '205', '215', '219']	['230', '259', '230', '259']
['SADNESS']	['54', '58']	['0', '34']
['SADNESS', 'SADNESS']	['348', '354', '301', '313']	['95', '127', '95', '127']
['SADNESS', 'ANTICIPATION']	['235', '241', '311', '322']	['242', '269', '323', '353']
['TRUST']	['70', '81']	['66', '69']
['OTHER']	['16', '36']	['13', '15']
['SURPRISE', 'SURPRISE']	['13', '18', '149', '187']	['74', '85', '74', '85']
['OTHER']	['119', '124']	['67', '93']
['OTHER', 'ANGER', 'ANGER']	['194', '203', '226', '237', '337', '344']	['207', '220', '241', '273', '316', '331']
['ANGER', 'OTHER']	['159', '184', '159', '184']	['1', '49', '104', '107']
['OTHER']	['148', '157']	['173', '196']
['OTHER']	['92', '99']	['103', '138']
['OTHER']	['53', '73']	['36', '38']
['TRUST']	['219', '225']	['148', '185']
['OTHER', 'DISGUST']	['444', '489', '444', '489']	['0', '246', '423', '431']
['OTHER', 'SADNESS']	['77', '93', '77', '93']	['22', '75', '94', '116']
['ANTICIPATION', 'OTHER']	['329', '368', '329', '368']	['166', '227', '299', '311']
['ANGER']	['260', '280']	['136', '165']
['OTHER']	['174', '203']	['38', '51']
['ANGER', 'SURPRISE', 'OTHER']	['14', '20', '201', '220', '169', '177']	['58', '75', '119', '130', '132', '154']
['DISGUST', 'OTHER']	['138', '146', '138', '146']	['62', '78', '147', '157']
['ANGER', 'TRUST']	['233', '239', '340', '351']	['240', '248', '352', '392']
['ANTICIPATION', 'SADNESS', 'ANGER']	['125', '133', '175', '179', '125', '133']	['180', '183', '125', '166', '134', '137']
['ANGER']	['250', '257']	['217', '238']
['ANGER', 'TRUST']	['177', '240', '116', '123']	['42', '112', '175', '271']
['OTHER']	['236', '243']	['195', '217']
['FEAR']	['122', '126']	['157', '205']
['ANTICIPATION']	['515', '521']	['522', '525']
['JOY']	['87', '93']	['108', '124']
['SADNESS', 'OTHER']	['248', '253', '248', '253']	['260', '269', '260', '269']
['TRUST', 'OTHER']	['235', '239', '260', '290']	['245', '312', '269', '272']
['ANTICIPATION', 'ANGER']	['245', '249', '353', '360']	['253', '276', '366', '372']
['SADNESS', 'OTHER']	['162', '171', '180', '195']	['177', '209', '199', '207']
['DISGUST']	['47', '55']	['56', '66']
['JOY']	['295', '322']	['280', '290']
['DISGUST']	['41', '48']	['49', '52']
['OTHER', 'FEAR', 'OTHER']	['108', '115', '108', '115', '153', '163']	['116', '121', '116', '121', '116', '121']
['TRUST', 'TRUST']	['258', '267', '334', '343']	['281', '328', '349', '380']
['DISGUST', 'DISGUST']	['34', '40', '61', '76']	['41', '55', '41', '55']
['OTHER', 'DISGUST', 'FEAR', 'OTHER']	['240', '262', '311', '321', '311', '321', '311', '321']	['322', '328', '322', '389', '322', '328', '322', '328']
['DISGUST', 'TRUST', 'TRUST']	['103', '112', '103', '112', '137', '148']	['91', '99', '91', '99', '114', '127']
['SURPRISE', 'ANGER']	['125', '133', '147', '154']	['134', '177', '125', '133']
['JOY']	['85', '93']	['107', '137']
['ANGER']	['126', '130']	['136', '146']
['OTHER', 'SADNESS']	['116', '126', '116', '126']	['0', '108', '93', '108']
['TRUST']	['68', '73']	['74', '77']
['SADNESS', 'SADNESS']	['169', '189', '276', '292']	['296', '354', '296', '354']
['SADNESS', 'OTHER']	['354', '377', '354', '377']	['309', '349', '381', '390']
['ANGER']	['118', '125']	['126', '205']
['FEAR', 'OTHER', 'ANTICIPATION']	['91', '98', '91', '98', '91', '98']	['0', '72', '110', '248', '148', '205']
['SURPRISE', 'ANTICIPATION', 'JOY', 'TRUST', 'ANTICIPATION']	['237', '242', '219', '226', '101', '105', '101', '105', '188', '194']	['91', '93', '91', '93', '111', '114', '111', '114', '195', '217']
['OTHER']	['36', '50']	['32', '35']
['TRUST', 'JOY']	['42', '46', '42', '46']	['47', '58', '47', '58']
['ANTICIPATION', 'OTHER']	['164', '170', '213', '236']	['180', '271', '224', '227']
['JOY']	['178', '185']	['186', '198']
['ANTICIPATION']	['214', '220']	['212', '213']
['OTHER', 'ANTICIPATION', 'DISGUST', 'ANGER']	['237', '243', '237', '243', '307', '315', '307', '315']	['304', '328', '249', '302', '316', '328', '316', '328']
['OTHER', 'DISGUST']	['129', '141', '177', '194']	['145', '156', '198', '213']
['ANTICIPATION']	['215', '223']	['224', '238']
['SADNESS']	['38', '42']	['43', '69']
['TRUST', 'OTHER']	['695', '701', '734', '748']	['677', '688', '773', '795']
['ANTICIPATION']	['386', '390']	['311', '339']
['OTHER']	['91', '97']	['98', '102']
['SURPRISE']	['311', '320']	['326', '422']
['JOY', 'SURPRISE']	['153', '166', '100', '109']	['93', '95', '115', '144']
['SURPRISE']	['39', '78']	['1', '18']
['OTHER']	['269', '273']	['274', '277']
['SURPRISE']	['114', '122']	['111', '140']
['OTHER']	['167', '190']	['172', '176']
['ANGER', 'OTHER', 'ANTICIPATION']	['94', '120', '94', '120', '94', '120']	['34', '37', '51', '64', '66', '82']
['JOY']	['46', '73']	['80', '156']
['TRUST']	['115', '120']	['142', '153']
['FEAR']	['181', '187']	['112', '149']
['OTHER']	['85', '100']	['104', '138']
['JOY']	['72', '77']	['79', '106']
['ANGER']	['271', '279']	['243', '265']
['ANGER', 'OTHER']	['71', '76', '71', '76']	['69', '70', '77', '80']
['DISGUST', 'FEAR']	['146', '152', '146', '152']	['156', '182', '156', '182']
['ANTICIPATION', 'JOY', 'ANGER']	['58', '63', '58', '63', '58', '63']	['68', '76', '68', '76', '68', '76']
['TRUST']	['76', '81']	['82', '146']
['TRUST', 'OTHER']	['341', '352', '341', '352']	['291', '315', '353', '370']
['SADNESS', 'OTHER', 'OTHER', 'SURPRISE']	['119', '124', '119', '124', '119', '124', '119', '124']	['125', '144', '125', '144', '125', '144', '125', '144']
['TRUST', 'OTHER']	['197', '202', '197', '202']	['206', '217', '206', '217']
['FEAR', 'ANGER']	['439', '467', '439', '446']	['389', '419', '389', '419']
['JOY', 'ANGER', 'JOY', 'OTHER', 'ANGER']	['139', '150', '339', '343', '292', '302', '292', '302', '458', '463']	['124', '131', '187', '205', '187', '273', '237', '273', '388', '418']
['ANTICIPATION']	['53', '57']	['58', '88']
['TRUST', 'OTHER']	['206', '210', '206', '210']	['171', '191', '211', '213']
['JOY']	['62', '70']	['75', '93']
['JOY', 'TRUST', 'ANTICIPATION', 'OTHER']	['204', '210', '192', '199', '282', '290', '356', '362']	['169', '181', '169', '181', '241', '276', '366', '418']
['TRUST']	['111', '123']	['129', '169']
['ANGER']	['79', '90']	['100', '109']
['TRUST', 'OTHER']	['175', '224', '175', '224']	['0', '28', '342', '360']
['DISGUST']	['84', '88']	['57', '76']
['DISGUST']	['301', '310']	['318', '332']
['JOY', 'OTHER']	['122', '131', '122', '131']	['137', '155', '137', '155']
['OTHER', 'JOY']	['135', '139', '135', '139']	['145', '176', '145', '176']
['OTHER', 'OTHER', 'FEAR']	['133', '144', '110', '116', '133', '144']	['62', '99', '120', '128', '145', '153']
['JOY']	['257', '263']	['276', '279']
['JOY']	['196', '206']	['216', '220']
['OTHER', 'OTHER', 'OTHER', 'TRUST']	['344', '357', '275', '279', '218', '224', '344', '357']	['4', '163', '4', '163', '4', '163', '344', '348']
['TRUST']	['114', '122']	['123', '145']
['DISGUST', 'SADNESS', 'SURPRISE']	['26', '30', '26', '30', '31', '39']	['57', '60', '57', '60', '57', '60']
['FEAR']	['276', '281']	['294', '326']
['OTHER', 'TRUST']	['77', '86', '77', '86']	['21', '46', '90', '92']
